timestamp,open,high,low,close,volume
1742256000,0.02295,0.0241,0.02206,0.02354,1038157.44537
1742342400,0.02336,0.02424,0.02305,0.02401,402808.83578
1742428800,0.02392,0.024,0.02152,0.02195,798007.41717
1742515200,0.02219,0.02302,0.02175,0.02211,462227.16504
1742601600,0.02222,0.02298,0.02218,0.02243,105491.52363
1742688000,0.02241,0.02306,0.0224,0.02296,426725.8377
1742774400,0.02315,0.0245,0.02289,0.02423,1014279.22281
1742860800,0.02431,0.02725,0.024,0.02542,1446812.60012
1742947200,0.02487,0.02575,0.02448,0.02481,157647.27465
1743033600,0.02489,0.02521,0.02462,0.02485,124327.45464
1743120000,0.02485,0.02498,0.02247,0.02266,546241.33541
1743206400,0.02295,0.02341,0.02045,0.02103,494231.49183
1743292800,0.021,0.02229,0.02082,0.02092,598375.86461
1743379200,0.02103,0.02164,0.02036,0.02108,273382.66209
1743465600,0.02075,0.02198,0.02073,0.02169,69557.71285
1743552000,0.0215,0.02231,0.02008,0.02044,362211.53291
1743638400,0.02072,0.02075,0.01976,0.02025,78618.40939
1743724800,0.02012,0.02061,0.01968,0.02021,183280.98598
1743811200,0.02013,0.02057,0.01961,0.02057,180158.07613
1743897600,0.02062,0.02084,0.01736,0.01769,537591.06122
1743984000,0.01789,0.01933,0.01599,0.01762,4257146.62987
1744070400,0.0176,0.0181,0.01636,0.0167,652546.00557
1744156800,0.01672,0.02,0.01586,0.01972,1412259.83508
1744243200,0.01956,0.01983,0.01807,0.0184,147762.94661
1744329600,0.01857,0.01978,0.01805,0.01945,1215844.16117
1744416000,0.01918,0.02347,0.01885,0.02219,728162.86188
1744502400,0.0218,0.02224,0.02032,0.02112,1651061.93447
1744588800,0.02129,0.02281,0.02129,0.02263,600455.46638
1744675200,0.02246,0.02308,0.02134,0.02145,162926.10093
1744761600,0.02172,0.02203,0.02031,0.02106,592063.92263
1744848000,0.02128,0.02155,0.0208,0.02132,84717.6894
1744934400,0.02154,0.02165,0.02103,0.02108,67046.54715
1745020800,0.02162,0.02233,0.02162,0.02221,115639.92429
1745107200,0.02252,0.02259,0.02153,0.02206,133674.06171
1745193600,0.02197,0.02306,0.02153,0.02206,636784.28427
1745280000,0.02213,0.02675,0.02213,0.02657,854162.34699
1745366400,0.02633,0.0267,0.0252,0.02629,632484.57418
1745452800,0.02635,0.02637,0.0251,0.02606,458261.6544
1745539200,0.02583,0.03292,0.02554,0.03069,3210681.68505
1745625600,0.03045,0.03248,0.03045,0.03216,425659.16088
1745712000,0.03251,0.03303,0.03121,0.03121,518197.88982
1745798400,0.03133,0.0321,0.03001,0.03135,481862.52072
1745884800,0.03158,0.03255,0.03068,0.03068,851774.30116
1745971200,0.03116,0.03116,0.0291,0.02995,183613.0992
1746057600,0.02996,0.03244,0.02946,0.03089,1656738.1539
1746144000,0.03092,0.03134,0.02975,0.03011,375361.18049
1746230400,0.03049,0.03113,0.02828,0.02944,1835172.26308
1746316800,0.02932,0.02945,0.02816,0.02835,492948.27874
1746403200,0.02817,0.02872,0.02738,0.02782,306226.73093
1746489600,0.02791,0.0297,0.02592,0.02702,3839099.09057
1746576000,0.02701,0.0291,0.02701,0.02811,4752311.48121
1746662400,0.02843,0.04038,0.02806,0.03374,581484.17419
1746748800,0.03342,0.03646,0.03168,0.03209,863782.47061
1746835200,0.03217,0.03794,0.03179,0.03531,315920.58693
1746921600,0.036,0.03825,0.03321,0.03482,1985069.81927
1747008000,0.03467,0.03595,0.03366,0.03495,401440.77461
1747094400,0.03406,0.03988,0.03323,0.03773,410640.03487
1747180800,0.03663,0.03896,0.03489,0.03566,251453.4762
1747267200,0.03569,0.03569,0.03245,0.03341,914387.89458
1747353600,0.03322,0.03675,0.03302,0.03364,150946.54095
1747440000,0.03353,0.03353,0.02983,0.03016,564329.95737
1747526400,0.03071,0.03463,0.02953,0.03088,385256.52309
1747612800,0.03174,0.03543,0.03109,0.03505,435445.56044
1747699200,0.03466,0.03567,0.03209,0.03371,704634.46374
1747785600,0.03383,0.03507,0.03302,0.03419,301386.05301
1747872000,0.03378,0.03547,0.03378,0.03468,587460.71436
1747958400,0.03473,0.03482,0.032,0.032,281372.79199
1748044800,0.03166,0.03271,0.03166,0.03183,168288.54715
1748131200,0.03201,0.03439,0.03107,0.03197,386210.87775
1748217600,0.03217,0.03859,0.03133,0.03297,673076.34074
1748304000,0.03297,0.03401,0.03168,0.03296,525179.88485
1748390400,0.03288,0.03327,0.03185,0.0319,188678.82109
1748476800,0.03219,0.03441,0.03149,0.032,576494.84013
1748563200,0.03205,0.05897,0.03149,0.04027,11499265.47163
1748649600,0.0403,0.046,0.0364,0.03858,6774456.48983
1748736000,0.03896,0.04424,0.0371,0.03871,1376838.24285
1748822400,0.03907,0.03996,0.03665,0.03789,955361.32082
1748908800,0.03817,0.03993,0.0353,0.03561,614695.15649
1748995200,0.03578,0.03705,0.03399,0.03461,922617.28541
1749081600,0.03456,0.03545,0.03133,0.03213,776738.47992
1749168000,0.03123,0.03405,0.03123,0.03227,458844.56361
1749254400,0.03221,0.03358,0.03211,0.03278,194591.78075
1749340800,0.03267,0.03692,0.03202,0.03214,425093.04802
1749427200,0.03205,0.03367,0.03155,0.03328,367368.42341
1749513600,0.03345,0.03485,0.03314,0.03475,618495.50161
1749600000,0.03493,0.0405,0.03292,0.03292,410825.71864
1749686400,0.03284,0.03402,0.0311,0.03168,381503.20164
1749772800,0.0311,0.03163,0.02873,0.03125,621232.42434
1749859200,0.03107,0.03107,0.02962,0.03055,239256.73112
1749945600,0.03049,0.0305,0.02881,0.02919,151885.21436
