timestamp,open,high,low,close,volume
1747612800,40.0,50.0,32.01,38.89,85.93141
1747699200,35.22,38.99,33.04,33.04,20.18644
1747785600,34.25,34.36,30.11,34.0,100.82258
1747872000,34.0,37.0,30.0,33.0,113.18223
1747958400,34.0,34.0,30.22,30.22,17.69719
1748044800,35.89,35.89,35.89,35.89,6.13931
1748131200,30.24,33.59,29.12,30.7,21.50371
1748217600,30.14,31.82,30.14,31.82,14.38999
1748304000,30.23,35.5,30.23,32.4,84.14319
1748390400,35.2,35.89,30.13,31.79,84.66593
1748476800,31.81,31.81,29.1,29.1,28.8084
1748563200,33.98,35.0,25.1,27.5,728.10387
1748649600,27.5,27.5,25.83,25.83,2.0
1748736000,31.84,31.84,25.32,25.32,162.83049
1748822400,30.0,30.0,25.85,26.0,189.46423
1748908800,26.57,29.5,25.42,25.42,59.73161
1748995200,26.0,26.0,25.02,25.8,48.95886
1749081600,26.85,29.97,25.0,25.0,61.07765
1749168000,24.98,27.97,22.98,24.49,29.56148
1749254400,22.96,29.0,22.96,25.02,2.86707
1749340800,29.0,30.0,25.0,25.33,62.30513
1749427200,30.0,31.56,25.27,27.81,80.37051
1749513600,31.53,31.56,27.24,30.04,23.64418
1749600000,29.74,32.8,27.0,27.2,129.62016
1749686400,27.0,30.0,25.1,25.11,78.6394
1749772800,25.0,27.09,22.56,24.08,26.58765
1749859200,27.08,27.08,23.32,24.5,56.73246
1749945600,26.2,26.6,23.04,25.8,12.20076
