timestamp,open,high,low,close,volume
1739491200,3.823,4.091,3.822,4.076,730.9806
1739577600,4.08,4.08,3.748,3.809,570.52124
1739664000,3.805,3.898,3.798,3.798,450.15575
1739750400,3.752,3.894,3.752,3.816,322.77758
1739836800,3.789,3.789,3.602,3.602,5641.49586
1739923200,3.652,3.652,3.522,3.522,925.46738
1740009600,3.535,3.693,3.53,3.645,391.40395
1740096000,3.574,3.722,3.53,3.577,1000.6194
1740182400,3.591,3.747,3.591,3.747,2030.89992
1740268800,3.754,3.806,3.751,3.783,107.83428
1740355200,3.792,3.792,3.44,3.453,889.764
1740441600,3.483,3.577,3.367,3.577,1700.35121
1740528000,3.535,3.908,3.446,3.538,6355.22156
1740614400,3.488,3.526,3.335,3.335,2590.58422
1740700800,3.24,3.403,3.185,3.403,341.74737
1740787200,3.385,3.385,3.233,3.327,809.44319
1740873600,3.357,3.577,3.321,3.522,7992.86351
1740960000,3.48,3.48,3.08,3.117,2690.88421
1741046400,3.055,3.186,2.767,3.123,1842.87554
1741132800,3.06,3.06,2.9,3.027,2931.94505
1741219200,3.043,3.079,3.031,3.072,1651.27898
1741305600,2.944,3.096,2.905,2.981,2905.35278
1741392000,2.959,2.98,2.955,2.966,791.86679
1741478400,2.918,2.923,2.633,2.649,8367.03681
1741564800,2.663,2.794,2.497,2.548,5739.44402
1741651200,2.432,2.72,2.396,2.656,14281.46248
1741737600,2.663,2.776,2.606,2.742,4148.86278
1741824000,2.74,2.79,2.703,2.768,548.7763
1741910400,2.791,2.946,2.349,2.946,102011.53148
1741996800,2.927,3.634,2.924,3.585,27271.76683
1742083200,3.562,3.562,3.336,3.408,9110.39808
1742169600,3.452,3.65,3.396,3.452,22501.26631
1742256000,3.446,3.657,3.408,3.552,4035.48324
1742342400,3.585,3.769,3.53,3.646,4967.05392
1742428800,3.646,3.908,3.595,3.712,26740.37024
1742515200,3.705,3.792,3.515,3.595,63002.4984
1742601600,3.584,3.683,3.579,3.683,3080.8208
1742688000,3.652,3.723,3.639,3.65,930.05022
1742774400,3.701,3.747,3.628,3.669,2826.89033
1742860800,3.671,3.69,3.57,3.576,5560.90619
1742947200,3.601,3.701,3.54,3.701,27445.35302
1743033600,3.71,4.087,3.71,4.037,8464.19439
1743120000,4.024,4.066,3.794,3.815,47734.78115
1743206400,3.815,3.839,3.66,3.673,2751.43431
1743292800,3.661,3.984,3.66,3.89,10527.72821
1743379200,3.879,4.157,3.843,4.086,5138.97207
1743465600,4.118,4.216,4.003,4.059,5190.24991
1743552000,4.051,4.099,3.813,3.851,1727.82969
1743638400,3.862,3.871,3.51,3.615,943933.61389
1743724800,3.552,3.57,3.365,3.4,1093.33929
1743811200,3.354,3.354,3.231,3.256,845.51471
1743897600,3.26,3.315,2.859,2.859,1920.65077
1743984000,2.949,3.142,2.859,3.142,8595.51273
