timestamp,open,high,low,close,volume
1722643200,1.75,1.76,1.68,1.71,13113.68162545
1722729600,1.71,1.72,1.61,1.62,10774.57671882
1722816000,1.61,1.61,1.4,1.53,57632.56847204
1722902400,1.55,1.61,1.52,1.53,22106.24856043
1722988800,1.53,1.7,1.46,1.48,50540.76731006
1723075200,1.48,1.6,1.47,1.56,17657.66311126
1723161600,1.58,1.75,1.53,1.59,14460.74359781
1723248000,1.61,1.62,1.58,1.61,2062.19612092
1723334400,1.62,1.74,1.57,1.57,7606.99227337
1723420800,1.58,1.6,1.51,1.6,18552.61432479
1723507200,1.6,1.61,1.57,1.58,1602.2264742
1723593600,1.59,1.59,1.51,1.52,10231.98942927
1723680000,1.53,1.55,1.44,1.48,13698.85562907
1723766400,1.48,1.5,1.42,1.45,23022.60178584
1723852800,1.48,1.51,1.45,1.47,3073.55270164
1723939200,1.48,1.57,1.45,1.55,18558.64403317
1724025600,1.54,1.56,1.49,1.52,7329.53606085
1724112000,1.52,1.58,1.43,1.58,12189.24672581
1724198400,1.58,2.35,1.56,2.05,117768.18156176
1724284800,2.0,2.06,1.65,1.8,106778.18468264
1724371200,1.8,2.02,1.71,1.89,31215.85559379
1724457600,1.88,2.04,1.79,1.86,15519.41935328
1724544000,1.83,1.86,1.79,1.82,4813.56565588
1724630400,1.84,1.84,1.79,1.8,3335.2142714
1724716800,1.8,1.82,1.71,1.71,10034.54566444
1724803200,1.73,1.75,1.66,1.66,33472.0863838
1724889600,1.67,1.72,1.57,1.69,10006.10546462
1724976000,1.72,1.72,1.65,1.7,1813.46467353
1725062400,1.7,1.7,1.65,1.65,733.50601631
1725148800,1.65,1.65,1.61,1.62,1526.94562324
1725235200,1.64,1.67,1.6,1.63,15653.77379792
1725321600,1.66,1.67,1.57,1.58,6780.80065193
1725408000,1.6,1.6,1.55,1.58,6422.88458687
1725494400,1.58,1.87,1.58,1.67,22139.16277143
1725580800,1.66,1.72,1.56,1.59,10250.3088658
1725667200,1.6,1.72,1.57,1.59,7751.23683636
1725753600,1.57,1.64,1.57,1.64,4103.0194888
1725840000,1.63,1.71,1.61,1.66,4930.1252916
1725926400,1.64,1.67,1.61,1.66,4387.49333369
1726012800,1.66,1.68,1.63,1.66,1391.14670449
1726099200,1.68,1.73,1.66,1.7,1039.26986691
1726185600,1.71,1.72,1.66,1.72,3699.40396858
1726272000,1.72,1.74,1.65,1.66,4741.37744515
1726358400,1.69,1.72,1.67,1.72,5801.08277274
1726444800,1.7,1.72,1.67,1.7,1524.23709499
1726531200,1.73,1.77,1.71,1.74,6629.16090729
1726617600,1.73,1.79,1.64,1.65,29362.19288311
1726704000,1.65,1.82,1.64,1.73,10866.84404533
1726790400,1.75,1.8,1.72,1.78,5361.08293526
1726876800,1.79,1.82,1.77,1.82,2417.63301955
1726963200,1.8,1.85,1.76,1.76,2809.68679851
1727049600,1.78,1.8,1.75,1.77,1986.9196959
1727136000,1.76,1.82,1.75,1.81,5685.64156146
1727222400,1.81,1.82,1.68,1.79,13532.60849417
1727308800,1.78,2.3,1.76,1.98,42508.57673304
1727395200,1.98,2.03,1.86,1.98,14150.60862276
1727481600,2.02,2.07,1.92,1.94,4813.85510942
1727568000,1.94,2.07,1.9,1.95,7386.21241859
1727654400,1.96,2.0,1.84,1.89,5316.28918787
1727740800,1.89,2.1,1.88,1.94,14896.31750818
1727827200,1.96,2.01,1.9,1.93,5202.10092392
1727913600,1.92,1.94,1.87,1.94,1178.45693389
1728000000,1.89,2.03,1.89,1.97,4994.98692846
1728086400,1.96,2.05,1.96,2.0,1842.42919602
1728172800,2.02,2.03,1.95,1.96,3186.04041073
1728259200,1.97,2.05,1.88,1.93,3560.08227087
1728345600,1.94,1.99,1.91,1.92,1358.7185794
1728432000,1.91,1.93,1.81,1.85,1795.76612981
1728518400,1.85,1.88,1.75,1.8,3307.61562197
1728604800,1.82,1.91,1.73,1.86,4773.59703846
1728691200,1.87,1.91,1.86,1.89,933.48852257
1728777600,1.89,1.9,1.68,1.82,12463.59536057
1728864000,1.84,1.94,1.79,1.93,10527.30796505
1728950400,1.91,1.95,1.83,1.89,9381.07058003
1729036800,1.88,1.91,1.82,1.86,2211.19828456
1729123200,1.84,1.87,1.84,1.87,253.43447523
1729209600,1.85,1.87,1.77,1.87,2322.19538415
1729296000,1.84,1.85,1.83,1.83,127.40277061
1729382400,1.83,1.92,1.82,1.92,1393.08257137
1729468800,1.93,1.98,1.85,1.86,7906.09850046
1729555200,1.89,1.89,1.77,1.83,3377.57043954
1729641600,1.83,1.86,1.72,1.79,13744.98346239
1729728000,1.8,1.84,1.74,1.81,2093.85329165
1729814400,1.82,1.93,1.69,1.69,10765.39927433
1729900800,1.69,1.73,1.65,1.69,4729.55646525
1729987200,1.7,1.76,1.67,1.73,3725.86360253
1730073600,1.71,1.72,1.66,1.69,253.26226046
1730160000,1.7,1.84,1.7,1.75,1110.95428827
1730246400,1.8,1.84,1.64,1.65,5769.74332256
1730332800,1.67,1.71,1.51,1.51,16789.83044639
1730419200,1.52,1.57,1.48,1.49,3050.23947267
1730505600,1.49,1.59,1.42,1.5,8143.91640051
1730592000,1.49,1.54,1.44,1.44,2962.4094842
1730678400,1.46,1.52,1.37,1.46,9834.02870731
1730764800,1.42,1.49,1.4,1.42,4451.11079031
1730851200,1.43,1.65,1.42,1.54,11325.7492301
1730937600,1.54,1.59,1.5,1.51,1083.78715929
1731024000,1.54,1.58,1.51,1.56,2147.87131509
1731110400,1.54,2.11,1.54,1.74,40762.45615867
1731196800,1.74,1.99,1.71,1.99,15655.51851506
1731283200,1.97,2.1,1.75,1.9,23636.28528756
1731369600,1.9,1.94,1.64,1.74,21218.91677835
1731456000,1.73,1.9,1.65,1.75,19027.04845926
1731542400,1.75,1.76,1.6,1.63,18305.78193614
1731628800,1.65,1.87,1.61,1.8,12882.61500504
1731715200,1.78,1.86,1.72,1.77,6700.21738797
1731801600,1.79,1.81,1.7,1.75,5382.28670737
1731888000,1.74,1.81,1.67,1.79,13504.94646975
1731974400,1.78,1.8,1.68,1.74,6897.69562879
1732060800,1.72,1.75,1.63,1.66,16033.32113802
1732147200,1.64,1.8,1.64,1.77,8342.19379508
1732233600,1.8,2.29,1.77,1.92,52206.9601639
1732320000,1.91,2.19,1.85,2.01,20417.72300933
1732406400,2.0,2.1,1.75,1.98,31226.15854504
1732492800,1.96,2.09,1.92,2.06,22566.06608115
1732579200,2.01,2.01,1.84,1.93,6737.47560874
1732665600,1.93,2.29,1.89,2.16,15810.59072211
1732752000,2.14,2.33,2.09,2.25,26614.5948971
1732838400,2.2,2.29,2.17,2.17,4775.59407297
1732924800,2.21,2.3,2.15,2.23,9014.30611422
1733011200,2.25,2.31,2.13,2.28,13925.94906472
1733097600,2.28,2.33,2.06,2.1,31341.56894249
1733184000,2.11,4.39,2.11,4.18,406499.26144145
1733270400,4.08,4.09,2.87,3.3,189302.09172643
1733356800,3.3,3.46,2.78,2.87,92919.0275514
1733443200,2.85,3.08,2.8,3.0,45100.18386222
1733529600,3.03,3.1,2.9,2.96,27542.06154568
1733616000,2.99,3.58,2.96,3.13,38416.74642179
1733702400,3.09,3.25,2.7,2.84,22974.10361887
1733788800,2.83,2.9,2.36,2.72,39832.75123745
1733875200,2.68,3.11,2.63,2.89,20640.2846217
1733961600,2.95,3.17,2.84,3.01,40344.22722987
1734048000,2.97,3.08,2.73,2.81,34541.14148849
1734134400,2.82,2.89,2.7,2.74,2653.5234933
1734220800,2.72,3.57,2.67,3.24,39554.00577057
1734307200,3.24,3.48,2.81,2.99,98858.07365305
1734393600,3.03,3.06,2.82,2.83,15569.9765305
1734480000,2.82,2.92,2.5,2.56,17673.03538448
1734566400,2.55,2.66,2.34,2.34,21118.47094519
1734652800,2.38,2.79,2.3,2.64,23384.09898722
1734739200,2.64,2.75,2.55,2.67,6987.33164093
1734825600,2.66,2.76,2.5,2.62,14931.83175864
1734912000,2.61,2.7,2.53,2.57,8509.36729109
1734998400,2.58,2.75,2.55,2.69,8137.5487007
1735084800,2.67,2.75,2.6,2.64,3017.23146203
1735171200,2.65,2.68,2.45,2.51,3780.66503797
1735257600,2.48,2.57,2.43,2.49,3771.41978729
1735344000,2.48,2.51,2.4,2.46,7231.20122129
1735430400,2.47,2.75,2.47,2.59,30859.56010657
1735516800,2.59,2.63,2.35,2.42,25714.14734801
1735603200,2.42,2.77,2.32,2.33,20327.20771972
1735689600,2.34,2.47,2.31,2.38,9316.62074085
1735776000,2.41,2.47,2.25,2.35,23506.63568402
1735862400,2.36,2.51,2.27,2.36,8870.43500049
1735948800,2.41,2.55,2.29,2.32,7803.65152116
1736035200,2.32,2.47,2.29,2.47,7778.16303706
1736121600,2.47,2.57,2.32,2.37,10736.43460308
1736208000,2.4,2.4,2.16,2.18,18973.19216955
1736294400,2.15,2.21,2.05,2.11,11133.17982571
1736380800,2.11,2.19,2.1,2.14,8935.41268077
1736467200,2.17,2.29,2.12,2.15,10769.73428291
1736553600,2.16,2.21,2.13,2.17,3150.98576521
1736640000,2.2,2.29,2.11,2.14,3431.81710513
1736726400,2.17,2.19,2.0,2.05,12867.88799702
1736812800,2.04,2.11,2.02,2.1,2637.29456369
1736899200,2.09,2.2,2.04,2.19,12842.89519391
1736985600,2.12,2.18,2.08,2.15,10812.55647479
1737072000,2.17,2.28,2.17,2.26,10399.08780564
1737158400,2.26,2.28,2.05,2.1,23831.92695222
1737244800,2.1,2.15,1.91,1.97,60067.77397882
1737331200,1.99,2.11,1.86,1.87,34016.39323336
1737417600,1.88,2.06,1.85,2.02,15222.35588893
1737504000,2.01,2.03,1.92,2.01,6951.18006022
1737590400,2.0,2.43,1.95,1.95,38622.95714225
1737676800,1.99,2.13,1.95,2.05,12223.97256502
1737763200,2.06,2.19,2.03,2.08,2809.11085586
1737849600,2.11,2.11,2.0,2.03,4662.66366025
1737936000,2.05,2.06,1.83,1.89,12630.71748277
1738022400,1.93,1.96,1.51,1.78,49463.44387905
1738108800,1.79,1.85,1.78,1.82,1183.05340894
1738195200,1.85,1.89,1.81,1.87,4406.55533032
1738281600,1.89,1.95,1.86,1.88,2657.59284302
1738368000,1.9,2.34,1.85,2.07,47230.0920247
1738454400,2.02,2.06,1.71,1.71,24736.94181412
1738540800,1.75,1.86,1.58,1.86,37053.84375567
1738627200,1.87,1.87,1.62,1.64,23322.13299872
1738713600,1.68,1.7,1.62,1.65,8900.28863444
1738800000,1.64,1.69,1.58,1.62,3756.46398478
1738886400,1.63,1.7,1.61,1.62,3767.41585948
1738972800,1.62,1.67,1.6,1.65,968.79910285
1739059200,1.63,1.68,1.61,1.63,4268.81649877
1739145600,1.64,1.65,1.59,1.63,7929.25712335
1739232000,1.61,1.68,1.55,1.62,4995.52661559
1739318400,1.62,1.65,1.58,1.63,4754.1311952
1739404800,1.63,1.7,1.62,1.66,5512.39327702
1739491200,1.68,2.08,1.65,1.71,64106.07385195
1739577600,1.68,1.74,1.66,1.66,13550.80230573
1739664000,1.68,1.71,1.64,1.68,2637.56802328
1739750400,1.67,1.68,1.62,1.62,3548.0807813
1739836800,1.62,1.66,1.53,1.58,18616.93186434
1739923200,1.56,1.6,1.55,1.6,1216.78154779
1740009600,1.6,1.63,1.57,1.6,2413.32909626
1740096000,1.6,1.88,1.58,1.75,18430.38651959
1740182400,1.74,1.75,1.62,1.67,13257.22286358
1740268800,1.66,1.72,1.64,1.71,2612.64235726
1740355200,1.7,1.71,1.56,1.63,15419.70306055
1740441600,1.64,1.67,1.54,1.56,6287.32914608
1740528000,1.56,1.64,1.47,1.5,19890.41500867
1740614400,1.49,1.55,1.44,1.52,12328.67399269
1740700800,1.5,1.5,1.37,1.46,6115.59454512
1740787200,1.46,1.5,1.44,1.44,2468.58307761
1740873600,1.45,1.58,1.41,1.55,16049.943108
1740960000,1.53,1.54,1.43,1.44,4601.41927511
1741046400,1.42,1.43,1.37,1.37,4833.2464959
1741132800,1.38,1.45,1.37,1.44,5464.04949121
1741219200,1.46,1.47,1.39,1.39,2206.04374174
1741305600,1.39,1.44,1.35,1.39,21424.13622066
1741392000,1.39,1.46,1.37,1.39,6565.79923796
1741478400,1.39,1.4,1.31,1.31,4256.12288665
1741564800,1.32,1.34,1.25,1.28,10060.12764695
1741651200,1.27,1.3,1.24,1.27,2724.34184577
1741737600,1.28,1.48,1.27,1.34,13807.9130441
1741824000,1.34,1.36,1.26,1.28,5195.91550904
1741910400,1.29,1.31,1.28,1.3,1177.33107538
1741996800,1.28,1.33,1.09,1.31,15265.62378998
1742083200,1.33,1.33,1.28,1.3,7882.6266767
1742169600,1.29,1.34,1.23,1.32,4057.75586427
1742256000,1.32,1.41,1.26,1.31,17377.09739956
1742342400,1.3,1.34,1.21,1.29,10220.84240582
1742428800,1.28,1.29,1.26,1.29,1393.16879334
1742515200,1.29,1.84,1.27,1.43,117386.91784862
1742601600,1.44,1.51,1.28,1.31,30578.33347292
1742688000,1.31,1.36,1.25,1.27,15081.22721212
1742774400,1.29,1.32,1.25,1.3,7670.18528261
1742860800,1.32,1.32,1.28,1.31,6217.78554095
1742947200,1.29,1.32,1.29,1.29,828.35869722
1743033600,1.29,1.32,1.29,1.3,609.91436419
1743120000,1.29,1.3,1.25,1.25,4742.81939487
1743206400,1.25,1.29,1.23,1.24,12827.42192914
1743292800,1.23,1.3,1.23,1.25,6848.54441909
1743379200,1.25,1.33,1.23,1.25,7412.55066771
1743465600,1.25,1.28,1.23,1.26,1879.91977941
1743552000,1.22,1.25,1.15,1.16,3840.75790634
1743638400,1.19,1.29,1.14,1.14,13207.64494554
1743724800,1.14,1.18,1.13,1.16,1651.86673957
1743811200,1.15,1.17,1.13,1.14,2002.62993378
1743897600,1.15,1.15,1.01,1.01,18344.26593924
1743984000,1.03,1.06,0.94,1.021,17685.02778793
1744070400,1.045,1.061,0.967,0.967,8178.79921834
1744156800,0.957,1.068,0.946,1.061,6966.53934537
1744243200,1.04,1.072,1.014,1.032,3714.93803481
1744329600,1.03,1.127,1.011,1.066,3876.3797377
1744416000,1.063,1.128,1.053,1.11,5890.55528478
1744502400,1.121,1.13,1.074,1.081,3844.83049406
1744588800,1.075,1.096,1.055,1.055,1333.06029441
1744675200,1.063,1.082,1.036,1.036,2810.56818338
1744761600,1.048,1.068,1.015,1.015,5607.04433652
1744848000,1.044,1.4,1.029,1.124,26596.01605672
1744934400,1.103,1.172,1.022,1.07,17040.63584506
1745020800,1.069,1.12,1.061,1.1,2576.60561868
1745107200,1.121,1.171,1.069,1.135,6182.67924101
1745193600,1.17,1.173,1.13,1.133,3153.87864949
1745280000,1.159,1.224,1.126,1.196,7073.71471755
1745366400,1.212,1.302,1.184,1.205,3795.31927091
1745452800,1.197,1.213,1.171,1.194,1478.48165506
1745539200,1.167,1.232,1.167,1.23,2738.52878029
1745625600,1.231,1.269,1.189,1.215,4826.08947009
1745712000,1.196,1.226,1.183,1.183,1709.29637017
1745798400,1.166,1.557,1.16,1.312,53574.17214675
1745884800,1.289,1.289,1.221,1.244,11618.67497299
1745971200,1.25,1.25,1.151,1.179,12734.80982029
1746057600,1.179,1.234,1.154,1.225,5855.7096781
1746144000,1.211,1.223,1.173,1.173,6410.29597962
1746230400,1.172,1.194,1.15,1.15,2752.33656854
1746316800,1.153,1.45,1.151,1.172,32088.18700599
1746403200,1.192,1.192,1.152,1.163,11006.38778917
1746489600,1.164,1.191,1.132,1.157,8376.88020341
1746576000,1.157,1.182,1.134,1.139,5399.62314275
1746662400,1.176,1.31,1.163,1.242,11636.44846738
1746748800,1.236,1.289,1.192,1.232,10655.99462822
1746835200,1.239,1.389,1.239,1.299,6971.59812545
1746921600,1.307,1.39,1.283,1.344,7513.23293434
1747008000,1.344,1.385,1.272,1.332,7507.40545518
1747094400,1.354,1.392,1.302,1.326,7413.90233154
1747180800,1.358,1.42,1.316,1.319,7056.04357521
1747267200,1.32,1.36,1.281,1.281,3908.3822614
1747353600,1.285,1.295,1.246,1.273,2855.35974062
1747440000,1.258,1.278,1.225,1.225,896.63832196
1747526400,1.227,1.263,1.224,1.224,1014.86771485
1747612800,1.224,1.26,1.2,1.2,1042.29912703
1747699200,1.248,1.329,1.214,1.231,1356.43211447
1747785600,1.254,1.254,1.206,1.206,1555.53107678
1747872000,1.208,1.347,1.15,1.264,13383.01869373
1747958400,1.295,1.295,1.204,1.204,3281.91452299
1748044800,1.202,1.221,1.164,1.183,8056.84245781
1748131200,1.187,1.187,1.138,1.175,6720.73464204
1748217600,1.187,1.25,1.154,1.184,2871.8708712
1748304000,1.175,1.177,1.111,1.164,15222.14660973
1748390400,1.164,1.18,1.102,1.118,13651.40839771
1748476800,1.114,1.127,1.089,1.089,3092.96667383
1748563200,1.091,1.117,1.001,1.011,23682.23127357
1748649600,1.02,1.02,1.007,1.008,3851.71558918
1748736000,1.008,1.097,0.995,1.012,17883.33690207
1748822400,1.024,1.03,0.991,1.003,4057.04714756
1748908800,1.003,1.033,1.002,1.002,2252.65285754
1748995200,1.002,1.01,0.97,0.979,5804.72020297
1749081600,0.984,1.097,0.957,0.987,33773.80250643
1749168000,0.995,1.071,0.95,0.952,28153.35068896
1749254400,0.965,1.128,0.957,0.985,40897.13987491
1749340800,0.984,1.053,0.955,0.973,30348.38571247
1749427200,0.972,1.06,0.959,0.998,32411.64358175
1749513600,0.999,1.08,0.976,1.019,46336.49577543
1749600000,1.023,1.168,1.011,1.041,51270.3941181
1749686400,1.05,1.118,0.978,0.979,34733.41858023
1749772800,0.984,1.106,0.943,0.959,76718.8533807
1749859200,0.963,1.018,0.949,0.949,11118.83115013
1749945600,0.949,0.979,0.937,0.945,5327.2783087
