Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-05-27 19:30:00+00:00,590.3800048828125,590.3800048828125,589.9301147460938,590.219970703125,0
2025-05-27 19:35:00+00:00,590.3699951171875,590.4349975585938,590.0399780273438,590.3699951171875,1046804
2025-05-27 19:40:00+00:00,590.4099731445312,590.5850219726562,590.239990234375,590.3800048828125,1161748
2025-05-27 19:45:00+00:00,589.989990234375,590.4000244140625,589.969970703125,590.3900146484375,1498990
2025-05-27 19:50:00+00:00,590.3250122070312,590.47998046875,589.8800048828125,590.0,2797652
2025-05-27 19:55:00+00:00,591.0499877929688,591.0599975585938,590.2899780273438,590.3300170898438,4839503
