timestamp,symbol,price,volume,portfolio_return,total_trades
1749934288,BTCUSD,104944,517.851,0,0
1749934348,BTCUSD,104926,519.054,0,0
1749934408,BTCUSD,104926,518.909,0,0
1749934469,BTCUSD,104892,518.803,0,0
1749934529,BTCUSD,104874,518.738,0,0
1749934589,BTCUSD,104874,518.593,0,0
