timestamp,symbol,action,price,size,confidence,portfolio_value,reward
1749934288,BTCUSD,SELL,103257,-1.56547e+23,-68.9934,100000,-0.1
1749934288,BTCUSD,SELL,103526,-1.35234e+38,-67.9854,100000,-0.1
1749934288,BTCUSD,SELL,103762,-1.35234e+38,-66.9769,100000,-0.1
1749934288,BTCUSD,SELL,103755,-1.35234e+38,-65.9698,100000,-0.1
1749934288,BTCUSD,SELL,104049,-1.35234e+38,-64.964,100000,-0.1
1749934288,BTCUSD,SELL,104217,-1.35234e+38,-63.9557,100000,-0.1
1749934288,BTCUSD,SELL,104046,-1.35234e+38,-62.9478,100000,-0.1
1749934288,BTCUSD,SELL,103917,-1.35234e+38,-61.9396,100000,-0.1
1749934288,BTCUSD,SELL,103952,-1.35234e+38,-60.9337,100000,-0.1
1749934288,BTCUSD,SELL,103973,-1.35234e+38,-59.9255,100000,-0.1
1749934288,BTCUSD,SELL,103775,-1.35234e+38,-58.9191,100000,-0.1
1749934288,BTCUSD,SELL,103442,-1.35234e+38,-57.9116,100000,-0.1
1749934288,BTCUSD,SELL,103800,-1.35234e+38,-56.9028,100000,-0.1
1749934288,BTCUSD,SELL,103871,-1.35234e+38,-55.895,100000,-0.1
1749934288,BTCUSD,SELL,103674,-1.35234e+38,-54.8865,100000,-0.1
1749934288,BTCUSD,SELL,103567,-1.35234e+38,-53.8808,100000,-0.1
1749934288,BTCUSD,SELL,104091,-1.35234e+38,-52.8762,100000,-0.1
1749934288,BTCUSD,SELL,103631,-1.35234e+38,-51.8684,100000,-0.1
1749934288,BTCUSD,SELL,104168,-1.35234e+38,-50.8593,100000,-0.1
1749934288,BTCUSD,SELL,104191,-1.35234e+38,-49.8525,100000,-0.1
1749934288,BTCUSD,SELL,103885,-1.35234e+38,-48.8446,100000,-0.1
1749934288,BTCUSD,SELL,103729,-1.35234e+38,-47.8368,100000,-0.1
1749934288,BTCUSD,SELL,104049,-1.35234e+38,-46.8312,100000,-0.1
1749934288,BTCUSD,SELL,103700,-1.35234e+38,-45.8229,100000,-0.1
1749934288,BTCUSD,SELL,103653,-1.35234e+38,-44.8174,100000,-0.1
1749934288,BTCUSD,SELL,103504,-1.35234e+38,-43.809,100000,-0.1
1749934288,BTCUSD,SELL,103500,-1.35234e+38,-42.8026,100000,-0.1
1749934288,BTCUSD,SELL,103356,-1.35234e+38,-41.7946,100000,-0.1
1749934288,BTCUSD,SELL,102839,-1.35234e+38,-40.7866,100000,-0.1
1749934288,BTCUSD,SELL,103286,-1.35234e+38,-39.7797,100000,-0.1
1749934288,BTCUSD,SELL,103550,-1.35234e+38,-38.7721,100000,-0.1
1749934288,BTCUSD,SELL,103630,-1.35234e+38,-37.7658,100000,-0.1
1749934288,BTCUSD,SELL,103354,-1.35234e+38,-36.7599,100000,-0.1
1749934288,BTCUSD,SELL,103475,-1.35234e+38,-35.7507,100000,-0.1
1749934288,BTCUSD,SELL,103456,-1.35234e+38,-34.7438,100000,-0.1
1749934288,BTCUSD,SELL,103460,-1.35234e+38,-33.7368,100000,-0.1
1749934288,BTCUSD,SELL,102963,-1.35234e+38,-32.7315,100000,-0.1
1749934288,BTCUSD,SELL,102894,-1.35234e+38,-31.7263,100000,-0.1
1749934288,BTCUSD,SELL,103000,-1.35234e+38,-30.7215,100000,-0.1
1749934288,BTCUSD,SELL,102945,-1.35234e+38,-29.7143,100000,-0.1
1749934288,BTCUSD,SELL,102724,-1.35234e+38,-28.7105,100000,-0.1
1749934288,BTCUSD,SELL,103144,-1.35234e+38,-27.7058,100000,-0.1
1749934288,BTCUSD,SELL,102971,-1.35234e+38,-26.6986,100000,-0.1
1749934288,BTCUSD,SELL,102902,-1.35234e+38,-25.6914,100000,-0.1
1749934288,BTCUSD,SELL,103146,-1.35234e+38,-24.6827,100000,-0.1
1749934288,BTCUSD,SELL,103036,-1.35234e+38,-23.6731,100000,-0.1
1749934288,BTCUSD,SELL,103178,-1.35234e+38,-22.6654,100000,-0.1
1749934288,BTCUSD,SELL,103400,-1.35234e+38,-21.6607,100000,-0.1
1749934288,BTCUSD,SELL,103250,-1.35234e+38,-20.6536,100000,-0.1
1749934288,BTCUSD,SELL,103100,-1.35234e+38,-19.6473,100000,-0.1
1749934288,BTCUSD,SELL,104944,-1.56547e+23,-18.6379,100000,-0.1
1749934348,BTCUSD,SELL,104926,-1.56547e+23,-17.6319,100000,-0.1
1749934408,BTCUSD,SELL,104926,-1.56547e+23,-16.6232,100000,-0.1
1749934469,BTCUSD,SELL,104892,-1.56547e+23,-15.6132,100000,-0.1
1749934529,BTCUSD,SELL,104874,-1.56547e+23,-14.6037,100000,-0.1
1749934589,BTCUSD,SELL,104874,-1.56547e+23,-13.5998,100000,-0.1
