Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,VOL_SMA_20
2022-11-17,336.21990966796875,336.86031508542055,332.0131075269154,333.9835117258882,2004500,327.9107635498047,320.50844421386716,306.19735046386717,3232475.0
2022-11-18,338.6041564941406,343.4710579107349,336.27906359936145,340.54500608793217,2737700,330.40529479980466,322.5438735961914,306.362490234375,3189380.0
2022-11-21,333.24462890625,339.1558418358509,332.6239467380845,337.92433914218407,1965100,331.6978820800781,324.15221252441404,306.36988220214846,3128430.0
2022-11-22,339.8553161621094,340.21000456094094,332.5648264601612,334.8012244571342,2510700,333.5904541015625,325.80488739013674,306.76483459472655,3103345.0
2022-11-23,343.48089599609375,345.60890620673814,339.05731784635935,339.5302257076047,1937300,336.84161987304685,327.23983612060545,307.2242303466797,2936310.0
2022-11-25,346.0917053222656,346.2000631376228,342.9291844659502,343.79616725275366,944400,338.2228729248047,328.81222076416014,307.91073120117187,2747240.0
2022-11-28,339.4908142089844,345.04736891311785,338.15095368134007,341.5498831488399,2226200,338.7450256347656,329.5570327758789,308.50121337890624,2676330.0
2022-11-29,338.0524597167969,339.61892771818367,335.707673503631,338.56475407344317,1724200,339.11546630859374,330.29347229003906,309.08456848144533,2604645.0
2022-11-30,351.1260986328125,351.1260986328125,336.4268969475482,337.77661930692557,4252300,340.38539123535156,331.4368011474609,309.9443469238281,2634240.0
2022-12-01,355.4609680175781,356.229424587761,348.8108526758464,352.692552036151,3374700,342.1626953125,333.4554809570312,311.063349609375,2649230.0
2022-12-02,354.73187255859375,356.92888410769723,350.79106408263004,352.1605094596991,2015500,344.0138916015625,335.9623275756836,312.28855773925784,2606960.0
2022-12-05,350.8206481933594,353.5890639732629,349.2049322178143,350.73198360317565,2202500,345.23554077148435,337.8204177856445,313.5295758056641,2546385.0
2022-12-06,342.3873291015625,349.7467909475202,339.25439323229176,348.58425953429185,2353300,346.1498107910156,338.92384643554686,314.6701898193359,2526945.0
2022-12-07,342.27899169921875,342.7026214666935,336.4170260665327,341.7469740458855,2454300,346.3921783447266,339.9913162231445,315.88004699707034,2530285.0
2022-12-08,345.9734802246094,346.9586824542861,342.0819193909919,344.82078038685376,1998600,346.6414367675781,341.7415283203125,317.0910076904297,2480155.0
2022-12-09,343.6680603027344,347.54975926425874,342.2198119077902,343.24443058476714,2301100,346.399072265625,342.3109725952148,318.3229425048828,2432460.0
2022-12-12,352.869873046875,353.13586680795703,343.9340821848713,345.1261683873288,2427100,347.7369781494141,343.24100189208986,319.7867163085937,2367080.0
2022-12-13,351.8649597167969,363.7957739931089,350.4758210068787,363.77605070687844,3072200,349.11822814941405,344.1168472290039,321.1096044921875,2403245.0
2022-12-14,352.21966552734375,356.741740240618,348.5349886726122,351.71720275942886,2587200,349.2275848388672,344.8064880371094,322.2273223876953,2383425.0
