Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,SMA_200,VOL_SMA_20
2017-01-04,19.829936981201172,19.993605995937585,19.697851975442195,19.715080811635158,23754000,20.02232551574707,20.195041275024415,20.085698699951173,20.061496524810792,23530020.0
2017-01-05,19.873010635375977,19.907468313322024,19.56002772818445,19.649040657824216,21297600,19.947381591796876,20.185709095001222,20.088637161254884,20.065469036102296,23428200.0
2017-01-06,19.6002254486084,19.669139158960615,19.528441360553458,19.643297544473818,28473300,19.861813354492188,20.15211353302002,20.085150566101074,20.068653917312623,23806935.0
2017-01-09,19.729442596435547,19.755284214201115,19.617456776009195,19.620328797108776,26055600,19.836545181274413,20.128711414337157,20.082936935424804,20.0717258644104,24083085.0
2017-01-10,19.591615676879883,19.890241800867713,19.58874365570427,19.709342256556564,30769500,19.798929977416993,20.102151107788085,20.076598243713377,20.073940019607544,24008055.0
2017-01-11,19.67775535583496,19.70359861568891,19.58012800144105,19.58300002243569,20092800,19.76533432006836,20.05707006454468,20.07106994628906,20.07671136856079,23650080.0
2017-01-12,19.516958236694336,19.686369684845616,19.502599774820066,19.62894240947893,19634700,19.72685775756836,20.002082347869873,20.062154846191405,20.077596492767334,23298690.0
2017-01-13,19.275760650634766,19.531314671339693,19.261403830867767,19.519829872739173,30037500,19.665696716308595,19.941639041900636,20.052521018981935,20.077711334228514,23500155.0
2017-01-17,19.64617156982422,19.89598317920359,19.54280017223207,19.554286613312364,39502500,19.64559669494629,19.903449249267577,20.049440231323242,20.078877096176146,24404835.0
2017-01-18,19.557161331176758,19.557161331176758,19.39349059993312,19.491119620165986,21964500,19.6298038482666,19.862244606018066,20.043552932739257,20.079541578292847,22826340.0
2017-01-19,19.416458129882812,19.580127172934574,19.376258052821882,19.56289833376096,20463300,19.588455963134766,19.805390739440917,20.037531433105467,20.080149087905884,22966110.0
2017-01-20,19.290111541748047,19.476753427421638,19.244169075400595,19.450910173964125,36164100,19.53016605377197,19.738773822784424,20.02544776916504,20.079562673568727,23858100.0
2017-01-23,19.137935638427734,19.290119918914066,19.112092373747203,19.241305411084035,23854200,19.483937072753907,19.672875213623048,20.010263442993164,20.0793678855896,24285660.0
2017-01-24,19.353286743164062,19.356157120994,19.140801561220012,19.206844896796454,32131800,19.446321487426758,19.641433334350587,19.99191654205322,20.080474700927734,24076230.0
2017-01-25,19.206850051879883,19.448048935055795,19.1781347646457,19.38774798198709,26168700,19.407844924926756,19.603387451171876,19.968987350463866,20.08177700996399,24664080.0
2017-01-26,19.160898208618164,19.301597625360237,19.129312558205363,19.275754372377357,19512300,19.356159210205078,19.56074676513672,19.94605136871338,20.08088183403015,24974340.0
