Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,VOL_SMA_20
2017-04-03,81.59501647949219,82.25920231084247,80.84162362140762,81.89241357192499,4224200,81.29267044067383,81.94892044067383,80.65902313232422,3781365.0
2017-04-04,82.24929809570312,82.40790435332976,81.8131176517642,82.02129261915599,4441500,81.43343734741211,81.94892044067383,80.79404022216796,3731850.0
2017-04-05,84.59870910644531,85.66932973757437,82.28895389031538,82.46739066217023,13289300,81.77643280029297,82.04111289978027,80.95721069335937,4209695.0
2017-04-06,84.26164245605469,84.7077304791029,83.6371177111629,84.67799228598254,5014400,82.12140884399415,82.12636528015136,81.08667587280273,4278070.0
2017-04-07,83.64704132080078,84.11295993668921,83.09190810857089,83.96426137966398,4876400,82.39600219726563,82.16948738098145,81.21415878295899,4325390.0
2017-04-10,83.50825500488281,83.87504375722878,83.13155856204932,83.39920990454002,3401300,82.6567169189453,82.20071372985839,81.33371109008789,4322270.0
2017-04-11,83.13156127929688,83.53799593312272,82.57642806895026,83.33973623317685,2536200,82.82722320556641,82.21806182861329,81.43581649780273,4302405.0
2017-04-12,82.64582061767578,83.34965239218592,82.47729155145674,83.1018239830011,3098400,82.9253646850586,82.21260986328124,81.52047485351562,4303620.0
2017-04-13,82.40789031982422,83.32981219734694,82.40789031982422,82.47728196380456,2594700,82.98186874389648,82.19327888488769,81.61068420410156,4245250.0
2017-04-17,83.46858978271484,83.49833553935015,82.27901666343188,82.52684502687595,2960800,83.15138244628906,82.25127029418945,81.691376953125,4001880.0
2017-04-18,82.98285675048828,83.66686552338197,82.80442000813002,83.27033858890559,2498200,83.29016647338867,82.29141845703126,81.76076889038086,3955355.0
2017-04-19,82.7746810913086,83.47851280139656,82.6259825467836,83.34964476314005,2840600,83.34270477294922,82.38807106018066,81.83511734008789,3887075.0
2017-04-20,83.31990051269531,83.62720526942809,82.7350216302279,83.22076311480072,4012300,83.21482391357422,82.4956283569336,81.9112501525879,3934840.0
